,t1,init,fp1,fp3,fp2
x0,0,1,0,0,0
x1,0,1,0,0,0
x2,0,1,0,0,0
x6,0,0,1,1,1
x7,0,1,1,0,0
x9,0,0,1,1,1
x12,0,1,0,1,0
x15,0,0,0,0,0
x16,0,1,1,0,1
x17,0,1,1,1,1
x19,0,0,0,0,0
x21,0,1,0,0,0
x23,0,0,0,0,0
x25,0,1,1,1,1
x27,0,1,0,0,0
x28,0,0,0,0,0
x31,0,0,1,1,1
x34,0,1,0,0,0
x36,0,0,1,1,1
x38,0,0,0,1,0
x41,0,0,1,0,0
x43,0,1,1,1,1
x46,0,0,1,1,1
x47,0,0,1,1,1
x48,0,0,1,0,1
x50,0,0,1,1,1
x51,0,0,1,1,1
x53,0,1,1,1,1
x54,0,0,0,0,0
x56,0,1,0,0,0
x58,0,1,0,0,0
x60,0,0,1,1,1
x61,0,1,0,1,0
x62,0,1,1,1,1
x63,0,0,0,0,0
x65,0,0,1,1,1
x69,0,0,0,0,0
x70,0,0,1,1,1
x71,0,1,0,1,0
x72,0,0,0,0,0
x75,0,1,0,0,0
x77,0,0,1,1,1
x78,0,0,0,0,0
x80,0,1,1,1,1
x82,0,1,1,0,0
x84,0,1,1,1,1
x89,0,0,1,1,1
x92,0,0,1,1,1
x97,0,0,1,1,1
x98,0,1,1,1,1
x99,0,0,0,0,0
x100,0,0,1,1,1
x101,0,0,0,0,0
x102,0,0,0,0,0
x103,0,0,0,0,0
x104,0,0,1,1,1
x105,0,0,0,1,0
x107,0,0,1,1,1
x108,0,1,1,0,1
x110,0,0,1,0,1
x113,0,0,0,0,0
x114,0,0,0,0,0
x115,0,1,1,1,1
x116,0,0,0,1,1
x119,0,0,0,1,1
x121,0,0,0,0,0
x122,0,0,1,1,1
x124,0,1,1,1,1
x125,0,0,1,1,1
x127,0,1,0,0,0
x128,0,0,0,1,0
x129,0,0,0,0,0
x130,0,0,1,1,1
x131,0,0,1,1,1
x133,0,0,0,0,0
x135,0,0,1,1,1
x137,0,0,0,0,0
x140,0,1,1,1,1
x145,0,0,1,1,1
x146,0,0,1,1,1
x147,0,0,0,0,0
x152,0,0,0,0,0
x153,0,0,0,0,0
x154,0,0,1,1,1
x156,0,1,1,1,1
x157,0,0,0,0,0
x158,0,0,1,1,1
x159,0,1,0,0,0
x161,0,0,1,0,1
x162,0,0,0,0,0
x164,0,0,1,1,1
x168,0,0,1,1,1
x172,0,0,1,1,1
x174,0,0,0,0,0
x177,0,1,1,1,1
x178,0,0,1,1,1
x181,0,0,0,0,0
x187,0,1,1,0,1
x188,0,0,0,0,0
x190,0,0,1,0,1
x191,0,0,0,0,0
x192,0,1,1,1,1
x195,0,1,0,1,1
x197,0,0,0,0,0
x199,0,0,0,0,0
x203,0,0,1,1,1
x204,0,0,0,0,0
x205,0,0,1,0,1
x207,0,0,1,1,1
x209,0,0,1,1,1
x210,0,0,1,1,1
x211,0,0,1,0,1
x212,0,1,1,1,1
x216,0,0,0,1,1
x217,0,1,0,0,0
x223,0,0,0,0,0
x224,0,0,0,1,1
x227,0,1,0,1,0
x229,0,0,1,1,1
x230,0,0,0,0,0
x233,0,0,0,1,1
x235,0,0,0,1,1
x239,0,0,1,1,1
x240,0,1,0,0,0
x244,0,0,1,1,1
x245,0,0,0,0,0
x246,0,0,0,0,0
x251,0,0,0,0,0
x253,0,1,0,0,0
x254,0,1,1,1,1
x255,0,0,1,1,1
x257,0,0,0,1,1
x258,0,1,1,1,1
x261,0,0,1,1,1
x262,0,0,1,1,1
x264,0,0,1,1,1
x265,0,0,1,1,1
x266,0,1,1,1,1
x269,0,1,1,0,1
x271,0,0,0,1,1
x273,0,1,0,0,0
x276,0,1,1,0,1
x279,0,1,1,1,1
x281,0,0,0,0,0
x282,0,0,1,1,1
x283,0,1,1,1,1
x289,0,0,0,0,0
x292,0,0,0,0,0
x293,0,0,0,1,1
x299,0,0,1,1,1
x3,1,1,1,1,1
x4,1,0,1,1,1
x5,1,1,0,0,0
x8,1,0,0,1,0
x10,1,1,1,1,1
x11,1,1,0,1,1
x13,1,1,0,0,0
x14,1,0,0,1,0
x18,1,1,1,1,1
x20,1,0,1,1,1
x22,1,0,0,0,0
x24,1,0,1,1,1
x26,1,0,1,1,1
x29,1,0,1,1,1
x30,1,0,0,0,0
x32,1,1,0,0,0
x33,1,0,0,0,0
x35,1,0,1,1,1
x37,1,1,0,0,0
x39,1,1,0,0,0
x40,1,1,0,0,0
x42,1,0,1,1,1
x44,1,1,0,0,0
x45,1,1,0,0,0
x49,1,1,0,1,0
x52,1,0,0,1,0
x55,1,0,0,0,0
x57,1,1,0,0,0
x59,1,1,0,0,0
x64,1,1,1,1,1
x66,1,1,0,0,0
x67,1,0,0,0,0
x68,1,0,0,1,1
x73,1,1,0,0,0
x74,1,0,1,1,1
x76,1,1,0,0,0
x79,1,1,0,0,0
x81,1,0,1,0,1
x83,1,1,1,1,1
x85,1,1,0,0,0
x86,1,1,0,0,0
x87,1,1,1,1,1
x88,1,0,1,1,1
x90,1,1,1,1,1
x91,1,1,0,0,0
x93,1,0,0,1,1
x94,1,1,1,1,1
x95,1,1,0,0,0
x96,1,1,0,0,0
x106,1,1,1,1,1
x109,1,1,0,0,0
x111,1,1,0,0,0
x112,1,1,0,1,0
x117,1,0,1,1,1
x118,1,0,0,0,0
x120,1,1,0,0,0
x123,1,1,0,0,0
x126,1,1,0,0,0
x132,1,1,0,1,0
x134,1,1,0,0,0
x136,1,1,1,1,1
x138,1,0,0,1,0
x139,1,0,0,0,0
x141,1,1,0,0,0
x142,1,1,0,0,0
x143,1,1,0,0,0
x144,1,1,1,1,1
x148,1,1,1,1,1
x149,1,1,0,1,0
x150,1,1,1,1,1
x151,1,1,1,1,1
x155,1,0,1,1,1
x160,1,1,1,0,1
x163,1,1,1,1,1
x165,1,0,1,1,1
x166,1,1,1,1,1
x167,1,1,1,1,1
x169,1,1,0,0,0
x170,1,0,1,1,1
x171,1,1,1,0,0
x173,1,0,0,0,0
x175,1,1,1,1,1
x176,1,0,0,0,0
x179,1,1,0,0,0
x180,1,1,1,1,1
x182,1,1,1,0,1
x183,1,1,1,1,1
x184,1,1,1,1,1
x185,1,1,1,1,1
x186,1,0,1,1,1
x189,1,1,0,0,0
x193,1,1,0,0,0
x194,1,0,0,0,0
x196,1,1,1,0,0
x198,1,0,0,0,0
x200,1,0,0,0,0
x201,1,1,0,0,0
x202,1,1,0,0,0
x206,1,1,0,0,0
x208,1,0,0,0,0
x213,1,0,0,0,0
x214,1,1,1,0,0
x215,1,1,0,0,0
