,fp1,init,fp2,t1,fp3
x2,0,1,1,0,0
x3,0,0,0,0,0
x4,0,0,1,1,1
x6,0,1,0,1,0
x12,0,1,0,0,0
x13,0,1,0,1,0
x14,0,0,1,1,0
x18,0,1,0,1,0
x19,0,0,0,0,0
x21,0,1,0,0,0
x22,0,0,0,0,0
x23,0,0,0,0,0
x24,0,0,0,1,0
x26,0,0,0,1,0
x28,0,1,0,0,0
x30,0,1,0,1,0
x31,0,0,1,1,0
x32,0,0,0,0,0
x33,0,1,0,1,0
x34,0,0,0,0,0
x36,0,1,0,1,0
x37,0,1,0,0,0
x38,0,1,1,0,0
x39,0,1,0,1,0
x44,0,0,1,0,0
x45,0,0,0,0,0
x46,0,1,0,0,0
x48,0,1,0,0,0
x49,0,1,0,0,0
x51,0,0,0,0,0
x53,0,1,0,1,0
x58,0,1,0,1,0
x59,0,1,0,1,0
x60,0,1,0,1,0
x62,0,0,0,0,0
x64,0,0,0,0,0
x65,0,0,0,0,0
x66,0,1,0,1,0
x68,0,1,0,1,0
x70,0,1,0,1,0
x71,0,0,0,0,0
x74,0,1,0,1,0
x76,0,0,0,0,0
x77,0,1,0,1,0
x78,0,1,1,1,0
x81,0,1,0,1,0
x82,0,1,0,1,0
x83,0,0,0,0,0
x84,0,1,0,1,0
x86,0,1,0,1,0
x89,0,1,0,0,0
x91,0,0,1,0,0
x92,0,1,0,1,0
x93,0,0,0,0,0
x94,0,0,0,0,0
x97,0,0,0,0,0
x101,0,1,0,1,0
x106,0,0,0,1,0
x114,0,1,0,1,0
x115,0,0,0,0,0
x116,0,1,0,1,0
x119,0,0,0,0,0
x121,0,0,0,0,0
x122,0,1,0,0,0
x123,0,1,0,1,0
x124,0,0,0,0,0
x125,0,1,0,0,0
x131,0,0,0,0,0
x133,0,1,0,1,0
x135,0,1,0,1,0
x136,0,1,0,1,0
x140,0,1,0,0,0
x141,0,1,0,0,0
x142,0,0,0,0,0
x143,0,0,0,0,0
x148,0,1,1,0,1
x149,0,0,0,0,0
x150,0,1,1,0,0
x155,0,0,0,1,0
x156,0,0,0,0,0
x157,0,1,0,0,0
x160,0,0,0,0,0
x164,0,1,0,1,0
x165,0,0,0,0,0
x166,0,1,1,1,0
x169,0,1,0,1,0
x170,0,1,0,1,0
x171,0,0,0,0,0
x172,0,1,0,0,0
x173,0,0,0,0,0
x174,0,1,0,1,0
x175,0,0,0,0,0
x176,0,1,0,1,0
x179,0,1,0,1,0
x180,0,0,0,1,0
x183,0,1,0,1,0
x184,0,0,0,0,0
x185,0,1,0,0,0
x187,0,1,0,0,0
x188,0,1,0,1,0
x190,0,1,0,1,0
x191,0,1,0,1,0
x193,0,0,0,0,0
x196,0,0,0,0,0
x199,0,1,0,1,0
x202,0,0,0,1,0
x203,0,1,0,1,0
x205,0,0,0,0,0
x207,0,0,0,0,0
x209,0,1,0,0,0
x213,0,1,0,0,0
x214,0,0,0,0,0
x216,0,1,0,1,0
x217,0,1,1,0,0
x218,0,1,1,1,0
x219,0,1,0,1,0
x220,0,0,0,0,0
x222,0,0,0,0,0
x223,0,0,0,0,0
x226,0,0,0,0,0
x227,0,0,0,0,0
x230,0,1,0,1,0
x232,0,0,0,0,0
x233,0,1,1,1,0
x236,0,1,0,1,0
x239,0,0,0,0,0
x244,0,0,0,0,0
x245,0,0,0,0,0
x249,0,0,0,0,0
x250,0,0,1,0,0
x251,0,0,0,0,0
x252,0,1,0,1,0
x253,0,1,0,1,0
x0,1,1,1,1,1
x1,1,1,1,1,1
x5,1,0,1,1,1
x7,1,0,1,0,1
x8,1,1,0,1,1
x9,1,1,1,0,1
x10,1,1,1,1,1
x11,1,0,1,0,1
x15,1,0,1,1,1
x16,1,1,1,1,1
x17,1,1,1,1,1
x20,1,1,1,1,1
x25,1,1,1,0,1
x27,1,0,0,0,1
x29,1,0,1,0,1
x35,1,0,1,0,1
x40,1,1,1,0,1
x41,1,0,1,0,1
x42,1,0,1,1,1
x43,1,0,1,1,1
x47,1,1,1,1,1
x50,1,1,0,0,1
x52,1,1,1,1,1
x54,1,0,1,0,1
x55,1,1,1,0,1
x56,1,0,1,1,1
x57,1,1,1,0,1
x61,1,1,0,1,0
x63,1,0,1,0,1
x67,1,1,1,1,1
x69,1,0,1,1,1
x72,1,0,1,0,1
x73,1,0,1,0,1
x75,1,1,1,1,1
x79,1,0,1,0,1
x80,1,0,1,1,1
x85,1,0,1,0,1
x87,1,1,1,1,1
x88,1,0,1,0,1
x90,1,1,1,1,1
x95,1,1,0,0,0
x96,1,1,1,1,1
x98,1,0,1,0,1
x99,1,1,1,1,1
x100,1,1,1,1,1
x102,1,0,1,0,1
x103,1,0,1,1,1
x104,1,0,1,1,1
x105,1,0,1,1,1
x107,1,1,1,1,1
x108,1,0,1,0,1
x109,1,0,1,0,1
x110,1,0,1,0,1
x111,1,0,1,1,1
