,init,fp2,fp3,fp1,t1
x2,0,1,0,0,0
x3,0,0,0,1,0
x6,0,1,1,0,0
x7,0,0,0,1,1
x9,0,0,1,1,0
x10,0,1,1,0,0
x11,0,1,1,0,0
x15,0,0,0,1,1
x18,0,0,1,1,1
x23,0,1,1,0,1
x27,0,0,0,1,1
x29,0,1,1,0,1
x30,0,1,0,0,0
x32,0,0,0,1,0
x34,0,1,1,0,1
x35,0,1,1,0,1
x36,0,1,0,0,0
x37,0,0,1,1,0
x38,0,1,1,0,0
x41,0,0,0,1,1
x42,0,1,1,0,0
x43,0,1,0,0,0
x44,0,0,0,1,1
x48,0,0,0,1,0
x49,0,0,1,1,0
x51,0,0,0,1,1
x52,0,1,0,0,0
x54,0,0,1,1,0
x56,0,1,0,0,0
x61,0,1,0,0,0
x62,0,1,1,0,0
x66,0,1,0,0,1
x67,0,1,0,0,0
x68,0,0,1,1,0
x69,0,0,0,1,0
x72,0,1,1,0,1
x73,0,0,0,1,1
x74,0,1,0,0,0
x75,0,1,1,0,1
x76,0,0,1,1,0
x77,0,1,1,0,0
x78,0,0,1,1,0
x82,0,1,0,0,0
x83,0,1,0,0,0
x86,0,1,1,0,0
x88,0,0,0,1,1
x89,0,1,0,0,0
x90,0,1,1,0,0
x91,0,1,1,0,0
x94,0,1,0,0,1
x95,0,1,0,0,0
x96,0,1,0,0,1
x97,0,1,1,0,0
x98,0,0,0,1,1
x99,0,0,0,1,0
x100,0,1,0,0,0
x102,0,1,0,0,0
x105,0,1,0,0,0
x107,0,1,0,0,0
x109,0,0,1,1,0
x111,0,1,0,0,0
x112,0,0,1,1,0
x113,0,0,0,1,0
x114,0,1,1,0,0
x115,0,1,1,0,1
x116,0,0,0,1,0
x117,0,1,0,0,0
x118,0,1,1,0,0
x119,0,0,0,1,0
x122,0,0,1,1,0
x130,0,0,0,1,0
x133,0,0,1,1,1
x135,0,1,0,0,0
x136,0,1,1,0,0
x137,0,0,1,1,0
x139,0,1,0,0,0
x140,0,0,1,1,0
x141,0,1,0,0,0
x143,0,1,1,0,0
x144,0,1,1,0,0
x145,0,0,0,1,1
x146,0,1,0,0,1
x150,0,0,0,1,0
x152,0,0,0,1,0
x153,0,1,0,0,0
x154,0,1,0,0,0
x156,0,0,1,1,1
x158,0,1,1,0,0
x160,0,1,0,0,1
x163,0,1,0,0,0
x165,0,1,1,0,0
x166,0,1,0,0,0
x167,0,1,0,0,0
x171,0,1,0,0,0
x172,0,1,1,0,1
x177,0,1,0,0,0
x179,0,0,0,1,0
x183,0,1,1,1,0
x184,0,0,0,1,1
x185,0,1,0,0,1
x186,0,0,0,1,1
x188,0,0,0,1,1
x190,0,1,0,0,0
x194,0,1,0,0,0
x196,0,1,1,0,1
x197,0,1,1,0,0
x198,0,1,1,0,0
x200,0,1,0,0,0
x201,0,0,0,1,0
x202,0,1,0,0,0
x205,0,1,1,0,0
x207,0,0,1,1,0
x208,0,0,0,1,1
x210,0,0,1,1,0
x212,0,0,0,0,0
x213,0,1,0,0,0
x216,0,1,0,0,0
x221,0,0,1,1,0
x223,0,0,0,0,0
x226,0,1,1,0,0
x227,0,1,1,0,0
x228,0,0,1,1,0
x237,0,1,0,0,0
x239,0,1,0,0,0
x240,0,0,0,0,0
x241,0,0,1,1,0
x243,0,1,0,0,0
x246,0,0,0,1,0
x247,0,0,0,1,1
x248,0,0,1,1,0
x249,0,0,0,1,0
x251,0,1,0,0,0
x253,0,1,1,0,0
x254,0,1,1,0,0
x0,1,1,1,0,1
x1,1,1,1,0,1
x4,1,1,0,0,1
x5,1,0,0,1,0
x8,1,1,0,0,1
x12,1,0,1,1,1
x13,1,0,1,1,0
x14,1,1,1,0,1
x16,1,1,1,0,1
x17,1,0,0,1,0
x19,1,0,0,1,0
x20,1,0,0,1,1
x21,1,1,0,0,1
x22,1,1,0,0,1
x24,1,0,0,1,1
x25,1,1,0,0,1
x26,1,1,1,0,0
x28,1,1,1,0,1
x31,1,0,0,1,1
x33,1,1,0,0,1
x39,1,0,1,1,1
x40,1,1,1,0,1
x45,1,0,1,1,1
x46,1,1,1,0,0
x47,1,1,0,0,1
x50,1,0,0,1,1
x53,1,1,0,0,1
x55,1,0,1,1,1
x57,1,1,1,0,0
x58,1,0,0,1,1
x59,1,1,1,0,1
x60,1,1,1,0,1
x63,1,1,1,0,1
x64,1,1,1,0,1
x65,1,1,1,0,1
x70,1,0,1,1,1
x71,1,1,1,0,0
x79,1,0,0,1,1
x80,1,1,1,0,1
x81,1,1,0,0,0
x84,1,1,1,0,1
x85,1,0,0,1,1
x87,1,1,0,0,1
x92,1,0,0,1,1
x93,1,1,0,0,1
x101,1,0,1,1,1
x103,1,0,1,1,1
x104,1,1,0,0,0
x106,1,0,1,1,1
x108,1,0,0,1,0
x110,1,0,0,1,1
x120,1,0,1,1,1
x121,1,1,0,0,1
x123,1,0,0,1,1
x124,1,1,0,0,1
x125,1,0,0,1,1
x126,1,0,1,1,1
x127,1,0,0,1,1
x128,1,1,0,0,1
x129,1,1,1,0,0
x131,1,1,1,1,1
x132,1,1,1,0,0
x134,1,1,1,0,0
x138,1,1,0,0,1
x142,1,0,0,1,1
x147,1,1,1,0,1
x148,1,1,1,1,1
x149,1,0,0,1,1
x151,1,0,0,0,1
x155,1,1,1,0,1
x157,1,1,1,0,0
x159,1,1,1,0,0
x161,1,0,0,1,1
x162,1,0,0,1,1
x164,1,1,1,0,1
x168,1,1,1,0,0
x169,1,0,0,1,1
x170,1,1,1,0,0
x173,1,0,1,1,0
x174,1,0,0,1,1
x175,1,0,1,1,1
x176,1,0,1,1,0
x178,1,1,1,1,1
x180,1,0,0,1,0
x181,1,0,0,1,1
x182,1,1,1,0,1
x187,1,1,1,0,0
x189,1,1,0,0,1
x191,1,1,1,0,1
x192,1,0,1,1,1
x193,1,0,1,1,1
x195,1,0,0,1,0
x199,1,0,0,1,1
x203,1,0,1,1,1
x204,1,0,1,1,1
x206,1,0,1,1,1
x209,1,1,0,0,1
x211,1,0,1,1,1
x214,1,1,1,0,0
x215,1,1,0,0,1
x217,1,1,1,0,0
x218,1,1,0,0,1
x219,1,0,1,1,1
x220,1,1,1,0,1
x222,1,1,1,0,0
x224,1,1,1,1,1
x225,1,1,0,0,1
x229,1,0,1,1,1
x230,1,0,0,1,1
x231,1,1,1,0,1
x232,1,1,1,0,1
x233,1,1,0,0,1
x234,1,0,0,1,1
x235,1,0,1,1,1
x236,1,0,1,1,1
x238,1,1,1,0,1
x242,1,0,0,1,0
x244,1,0,0,1,1
x245,1,1,1,0,1
x250,1,0,0,1,1
x252,1,1,1,0,0
x255,1,1,0,0,1
