,fp3,fp2,t1,init,fp1
x0,0,1,0,1,0
x4,0,0,0,1,0
x8,0,0,0,0,1
x15,0,0,0,1,0
x16,0,0,1,1,0
x17,0,0,0,0,0
x22,0,1,0,0,1
x26,0,0,0,0,0
x31,0,0,0,0,0
x35,0,1,0,0,0
x36,0,0,0,0,0
x39,0,0,0,0,0
x40,0,0,0,1,0
x41,0,0,0,0,0
x42,0,0,0,1,0
x43,0,0,0,1,1
x44,0,0,0,0,0
x46,0,0,0,1,1
x48,0,0,0,0,0
x49,0,0,0,0,0
x50,0,0,0,1,0
x51,0,0,0,1,0
x54,0,0,1,1,1
x55,0,0,1,1,0
x62,0,0,1,1,1
x67,0,1,1,0,0
x68,0,1,0,0,0
x69,0,0,0,1,1
x72,0,0,0,0,0
x74,0,0,0,1,0
x76,0,0,1,0,0
x77,0,0,1,1,0
x78,0,1,1,0,0
x82,0,1,1,1,0
x84,0,0,0,1,1
x85,0,0,1,1,0
x88,0,0,0,1,1
x89,0,0,1,0,1
x90,0,0,1,1,0
x91,0,0,0,0,1
x93,0,0,1,1,0
x96,0,1,1,0,0
x97,0,0,0,0,0
x100,0,0,0,0,1
x102,0,0,0,1,0
x104,0,0,1,0,0
x105,0,0,1,1,0
x106,0,0,1,1,0
x107,0,0,0,0,0
x111,0,0,1,1,0
x112,0,0,1,1,0
x113,0,0,1,0,0
x117,0,0,0,1,0
x119,0,0,1,1,1
x120,0,0,1,1,1
x122,0,0,0,1,0
x126,0,0,1,1,0
x128,0,0,1,1,0
x129,0,0,0,0,0
x130,0,0,0,0,0
x135,0,0,1,1,0
x138,0,0,1,0,1
x139,0,0,0,1,0
x143,0,1,0,0,0
x144,0,0,1,1,0
x145,0,0,0,1,0
x146,0,0,0,0,0
x151,0,0,1,1,0
x152,0,0,0,0,1
x153,0,0,0,0,0
x155,0,0,0,0,0
x158,0,0,0,1,0
x159,0,0,0,0,0
x162,0,0,1,0,0
x163,0,0,1,1,0
x164,0,0,0,0,0
x171,0,0,1,1,0
x172,0,0,0,0,0
x174,0,0,0,0,0
x176,0,0,0,0,0
x177,0,0,0,0,1
x181,0,0,0,0,0
x182,0,0,0,0,0
x183,0,0,1,0,0
x184,0,0,0,0,0
x185,0,0,0,1,0
x186,0,0,0,0,1
x188,0,0,0,0,0
x189,0,0,0,0,0
x190,0,0,1,1,0
x191,0,0,0,0,0
x193,0,0,1,0,0
x194,0,0,0,0,0
x195,0,0,0,0,1
x196,0,0,0,0,0
x199,0,0,0,0,0
x202,0,0,1,0,0
x203,0,0,0,0,0
x205,0,0,0,0,0
x208,0,0,0,1,0
x213,0,0,0,1,0
x214,0,0,1,1,0
x217,0,0,0,1,0
x219,0,0,1,1,0
x222,0,1,0,1,0
x223,0,0,1,0,0
x225,0,0,0,0,1
x227,0,0,1,1,0
x228,0,0,1,0,1
x229,0,0,0,0,0
x231,0,0,1,1,1
x232,0,0,0,1,0
x233,0,0,0,0,0
x234,0,0,1,1,0
x235,0,0,0,0,0
x236,0,0,0,1,0
x237,0,0,0,0,0
x239,0,0,0,0,0
x242,0,0,0,1,1
x243,0,0,1,0,0
x244,0,0,0,0,0
x245,0,0,1,0,0
x249,0,0,0,0,0
x250,0,0,0,0,0
x252,0,0,0,0,0
x254,0,0,0,0,1
x255,0,0,0,0,0
x256,0,0,0,1,0
x257,0,0,0,0,0
x262,0,0,1,1,1
x265,0,0,0,0,1
x266,0,0,1,1,0
x267,0,0,1,0,0
x268,0,0,0,0,0
x270,0,0,0,0,1
x283,0,0,1,0,1
x285,0,0,0,0,0
x286,0,0,1,1,1
x288,0,0,0,0,0
x289,0,0,1,0,0
x292,0,0,0,1,0
x294,0,1,0,0,0
x300,0,0,0,0,0
x302,0,0,1,0,0
x303,0,0,0,0,1
x305,0,1,0,0,0
x306,0,0,1,0,1
x307,0,0,0,0,1
x308,0,0,1,1,1
x310,0,0,0,0,0
x311,0,0,0,1,0
x314,0,0,1,1,0
x316,0,0,1,1,0
x319,0,1,1,1,0
x320,0,0,1,0,0
x321,0,0,0,1,1
x323,0,0,0,0,0
x327,0,0,0,1,0
x328,0,0,1,1,0
x331,0,0,1,1,0
x333,0,0,0,0,0
x334,0,0,1,1,1
x335,0,0,1,1,0
x340,0,1,1,1,1
x343,0,0,0,0,0
x345,0,0,0,0,1
x347,0,0,0,0,1
x350,0,0,0,0,0
x355,0,0,1,0,1
x359,0,0,0,1,0
x360,0,0,0,0,0
x363,0,0,0,0,1
x366,0,1,1,1,1
x369,0,0,0,0,0
x370,0,0,0,1,0
x373,0,0,0,0,0
x374,0,0,0,0,0
x375,0,0,1,0,0
x377,0,0,0,1,0
x381,0,0,0,0,0
x382,0,0,0,0,1
x383,0,0,1,0,0
x386,0,0,0,1,1
x387,0,0,1,0,1
x389,0,0,0,0,0
x390,0,0,0,0,0
x391,0,0,1,1,0
x392,0,0,0,0,1
x396,0,0,1,0,0
x398,0,0,0,0,0
x399,0,0,0,1,0
x401,0,0,0,0,0
x403,0,0,1,1,1
x406,0,0,0,0,0
x408,0,0,1,1,0
x414,0,0,0,1,0
x417,0,0,0,0,0
x418,0,0,1,1,0
x419,0,0,1,0,0
x420,0,0,1,1,0
x421,0,0,0,0,0
x422,0,0,0,0,0
x423,0,0,0,1,1
x424,0,0,0,0,1
x426,0,0,1,0,1
x427,0,1,0,0,0
x428,0,0,0,0,0
x429,0,0,1,1,0
x432,0,0,1,0,0
x433,0,0,0,0,0
x434,0,0,1,0,0
x436,0,0,0,0,0
x437,0,0,1,0,0
x440,0,0,0,1,0
x441,0,0,1,0,1
x445,0,0,0,0,0
x447,0,0,1,1,0
x449,0,0,1,1,1
x450,0,1,1,0,0
x451,0,0,1,0,1
x454,0,0,1,0,0
x455,0,0,1,0,0
x456,0,0,1,1,0
x460,0,1,1,0,0
x461,0,0,0,0,1
x465,0,0,1,1,0
x466,0,0,1,0,1
x473,0,0,0,0,0
x479,0,0,1,1,0
x480,0,0,0,0,1
x482,0,0,0,0,0
x483,0,0,0,0,0
x486,0,0,0,0,0
x487,0,0,0,0,0
x488,0,0,0,0,0
x489,0,1,0,0,0
x490,0,0,1,0,0
x493,0,1,0,0,0
x494,0,0,0,0,0
x495,0,0,0,0,1
x500,0,0,0,0,0
x501,0,0,1,0,0
x503,0,0,0,0,0
x506,0,0,1,0,0
x509,0,0,0,1,0
x510,0,0,0,1,0
x511,0,0,0,0,0
x1,1,1,0,0,1
x2,1,1,1,0,0
x3,1,1,0,1,0
x5,1,1,1,0,1
x6,1,1,0,0,1
x7,1,0,0,0,1
x9,1,1,0,1,1
x10,1,1,1,0,1
x11,1,0,0,0,1
x12,1,1,0,1,1
x13,1,1,1,0,0
x14,1,1,0,0,0
x18,1,1,0,0,1
x19,1,1,1,0,0
x20,1,1,1,1,1
x21,1,1,0,0,0
x23,1,1,0,0,1
x24,1,1,1,1,0
x25,1,1,1,0,1
x27,1,1,0,1,1
x28,1,1,1,1,0
x29,1,1,0,1,1
x30,1,1,0,0,1
x32,1,1,1,0,1
x33,1,1,0,0,1
x34,1,1,1,1,1
x37,1,1,0,0,0
x38,1,1,1,1,1
x45,1,1,0,1,1
x47,1,1,1,1,0
x52,1,1,0,0,1
x53,1,1,0,1,1
x56,1,1,0,1,0
x57,1,1,0,0,1
x58,1,1,0,1,1
x59,1,1,0,0,1
x60,1,1,0,0,1
x61,1,1,0,1,0
x63,1,1,1,1,1
x64,1,1,0,1,1
x65,1,1,0,0,1
x66,1,1,1,1,1
x70,1,1,0,0,0
x71,1,1,1,1,1
x73,1,1,0,1,1
x75,1,1,1,1,1
x79,1,1,1,0,1
x80,1,1,1,0,1
x81,1,1,0,0,0
x83,1,1,0,0,0
x86,1,1,0,0,0
x87,1,1,1,1,0
x92,1,1,1,0,1
x94,1,1,0,1,1
x95,1,1,1,1,1
x98,1,1,1,0,1
x99,1,1,0,0,1
x101,1,1,0,0,1
x103,1,1,0,1,1
x108,1,1,0,1,0
x109,1,1,0,0,1
x110,1,0,1,1,1
x114,1,1,1,0,1
x115,1,1,0,1,0
x116,1,1,0,1,0
x118,1,1,1,0,1
x121,1,1,1,1,1
x123,1,1,0,0,1
x124,1,1,0,0,1
x125,1,1,1,1,1
x127,1,1,0,0,1
x131,1,1,0,0,1
x132,1,1,0,0,1
x133,1,1,1,1,1
x134,1,1,1,1,1
x136,1,1,1,1,1
x137,1,1,0,0,0
x140,1,1,1,1,0
x141,1,1,1,1,1
x142,1,1,0,1,1
x147,1,1,1,0,1
x148,1,1,0,0,1
x149,1,0,0,0,1
x150,1,1,1,0,1
x154,1,1,1,0,1
x156,1,1,0,0,1
x157,1,1,0,0,1
x160,1,1,1,1,1
x161,1,1,1,1,1
x165,1,1,1,0,1
x166,1,1,1,1,1
x167,1,1,1,0,1
x168,1,1,1,0,0
x169,1,1,0,0,1
x170,1,1,0,0,1
x173,1,1,0,1,1
x175,1,1,0,0,1
x178,1,1,1,1,1
x179,1,1,0,1,0
x180,1,1,0,0,0
x187,1,1,0,0,1
x192,1,1,1,0,0
x197,1,1,0,1,1
x198,1,1,0,1,0
x200,1,1,1,0,1
x201,1,1,0,1,1
x204,1,1,1,1,1
x206,1,1,0,0,0
x207,1,1,1,1,1
x209,1,1,1,0,1
x210,1,1,1,0,0
x211,1,1,0,0,1
x212,1,1,1,0,1
x215,1,1,0,0,1
x216,1,1,1,0,1
x218,1,1,1,0,1
x220,1,1,1,1,0
x221,1,1,1,1,1
x224,1,1,1,0,1
x226,1,1,1,0,0
x230,1,1,1,1,1
x238,1,1,1,1,1
x240,1,1,1,0,1
x241,1,1,0,0,1
x246,1,1,0,0,1
x247,1,1,1,1,1
x248,1,1,1,0,1
x251,1,1,0,0,1
x253,1,1,1,0,1
x258,1,1,1,1,1
x259,1,1,0,0,1
x260,1,1,1,1,1
x261,1,1,1,1,1
x263,1,1,0,0,1
x264,1,1,0,0,1
x269,1,1,1,0,1
x271,1,1,0,0,1
x272,1,1,1,1,0
x273,1,0,1,1,1
x274,1,0,0,0,1
x275,1,1,1,1,0
x276,1,1,1,1,0
x277,1,1,1,1,1
x278,1,1,0,1,0
x279,1,1,0,1,0
x280,1,1,1,1,0
x281,1,1,1,0,1
x282,1,1,0,1,1
x284,1,1,1,0,1
x287,1,1,1,1,1
x290,1,1,0,0,1
x291,1,1,0,1,1
x293,1,1,1,1,1
x295,1,1,1,1,0
x296,1,1,1,1,1
x297,1,1,1,1,1
x298,1,1,1,0,0
x299,1,1,0,1,0
x301,1,1,1,1,1
x304,1,1,0,0,1
x309,1,1,1,1,1
x312,1,1,0,0,0
x313,1,1,1,1,1
x315,1,1,1,1,1
x317,1,1,1,1,1
x318,1,1,1,0,1
x322,1,1,0,0,1
x324,1,1,1,0,1
x325,1,0,1,1,0
x326,1,1,1,1,1
x329,1,1,1,1,1
x330,1,1,1,1,0
x332,1,1,1,1,1
x336,1,1,1,1,1
x337,1,1,1,0,1
x338,1,1,0,0,1
x339,1,1,1,1,1
x341,1,1,1,1,1
x342,1,1,0,1,1
x344,1,1,1,0,1
x346,1,1,1,1,1
x348,1,1,0,0,1
x349,1,1,0,0,1
x351,1,1,1,1,0
x352,1,1,0,0,1
x353,1,1,1,1,1
x354,1,1,1,0,1
x356,1,1,1,1,1
x357,1,1,1,1,0
x358,1,1,0,1,1
x361,1,1,1,1,1
x362,1,1,1,0,1
x364,1,1,0,1,1
x365,1,1,1,1,1
x367,1,1,0,0,1
x368,1,1,1,1,1
x371,1,1,1,1,1
x372,1,1,1,1,1
x376,1,1,1,1,1
x378,1,1,1,1,1
x379,1,1,0,0,1
x380,1,1,1,0,1
x384,1,1,1,1,0
x385,1,1,1,1,1
x388,1,1,0,1,1
x393,1,1,1,1,0
x394,1,1,0,1,0
x395,1,1,1,0,1
x397,1,1,1,1,1
x400,1,0,0,0,1
x402,1,1,1,1,0
x404,1,1,1,1,1
x405,1,1,0,1,0
x407,1,1,1,1,0
x409,1,1,0,1,1
x410,1,1,1,1,0
x411,1,1,0,1,1
x412,1,1,0,1,1
x413,1,1,0,1,0
x415,1,1,1,1,1
x416,1,1,1,1,1
x425,1,1,0,0,0
x430,1,1,0,0,1
x431,1,1,0,1,1
x435,1,1,1,0,0
x438,1,1,1,1,1
x439,1,1,0,1,1
x442,1,1,1,1,1
x443,1,1,1,1,1
x444,1,1,0,0,1
x446,1,1,1,1,1
x448,1,0,0,0,1
x452,1,1,1,0,1
x453,1,1,0,0,1
x457,1,1,1,1,1
x458,1,1,1,1,0
x459,1,1,1,1,1
x462,1,1,1,1,1
x463,1,1,1,1,1
x464,1,1,1,1,1
x467,1,1,0,0,1
x468,1,1,1,1,0
x469,1,1,1,1,1
x470,1,1,1,1,0
x471,1,1,1,1,1
x472,1,1,1,1,1
x474,1,1,1,1,1
x475,1,1,1,1,1
x476,1,1,0,0,0
x477,1,1,0,0,1
x478,1,1,0,1,0
x481,1,1,1,1,1
x484,1,1,1,1,1
x485,1,1,0,0,1
x491,1,1,0,0,1
x492,1,1,0,0,1
x496,1,1,0,1,0
x497,1,1,1,0,1
x498,1,1,0,0,1
x499,1,1,1,0,1
x502,1,1,0,1,1
x504,1,1,0,0,0
x505,1,1,1,1,1
x507,1,1,1,0,1
x508,1,1,1,1,1
