,fp2,fp1,t1,init,fp3
x0,0,1,1,1,0
x1,0,1,0,1,0
x3,0,1,0,0,1
x4,0,1,0,0,0
x5,0,1,1,1,0
x7,0,1,0,0,1
x8,0,1,1,1,0
x11,0,1,1,0,0
x14,0,1,1,0,0
x15,0,1,1,0,0
x16,0,0,1,1,0
x17,0,1,1,1,1
x20,0,0,1,1,0
x24,0,1,1,1,0
x27,0,1,1,0,0
x28,0,1,0,0,0
x31,0,1,0,0,0
x33,0,1,1,0,1
x35,0,1,1,0,0
x37,0,1,1,1,1
x39,0,1,1,1,0
x40,0,1,0,0,1
x41,0,1,0,0,1
x44,0,1,0,1,0
x46,0,1,1,1,0
x48,0,1,1,1,0
x49,0,1,1,1,0
x50,0,1,0,0,0
x52,0,1,1,0,0
x53,0,1,1,1,1
x56,0,1,1,1,0
x57,0,1,1,1,0
x58,0,1,1,1,1
x59,0,1,0,0,0
x60,0,1,1,1,0
x62,0,1,1,1,1
x63,0,1,1,1,0
x66,0,1,1,1,0
x67,0,1,1,1,0
x69,0,1,0,0,0
x70,0,1,1,1,0
x72,0,1,1,1,0
x74,0,1,1,1,0
x75,0,1,1,1,0
x76,0,1,0,0,0
x77,0,1,1,1,1
x79,0,0,1,1,0
x81,0,1,1,1,0
x84,0,1,0,1,0
x85,0,1,0,0,0
x87,0,1,1,1,1
x89,0,1,1,1,0
x90,0,0,0,0,0
x91,0,1,1,1,0
x92,0,1,0,1,0
x93,0,1,1,1,0
x94,0,1,1,0,0
x95,0,0,0,0,0
x100,0,0,1,1,0
x101,0,1,0,0,0
x103,0,0,0,0,0
x106,0,1,0,1,0
x108,0,1,0,1,0
x109,0,1,0,0,1
x110,0,0,0,0,0
x112,0,1,0,1,1
x114,0,0,0,0,0
x117,0,0,1,1,0
x118,0,1,1,0,0
x120,0,1,1,1,0
x121,0,0,0,0,0
x123,0,0,0,0,0
x126,0,1,1,1,1
x2,1,0,1,0,1
x6,1,0,1,0,1
x9,1,0,1,1,1
x10,1,0,0,0,1
x12,1,0,0,0,1
x13,1,0,1,0,1
x18,1,0,0,0,0
x19,1,0,0,0,1
x21,1,0,0,1,1
x22,1,0,1,1,1
x23,1,0,0,0,1
x25,1,0,0,1,1
x26,1,0,1,1,1
x29,1,0,0,1,1
x30,1,0,1,1,1
x32,1,0,0,1,1
x34,1,0,0,0,1
x36,1,0,0,0,1
x38,1,0,0,1,1
x42,1,0,1,1,1
x43,1,0,0,0,1
x45,1,0,0,0,1
x47,1,0,0,1,0
x51,1,0,0,0,1
x54,1,0,0,1,1
x55,1,0,1,0,1
x61,1,0,1,1,1
x64,1,0,1,1,1
x65,1,0,1,1,1
x68,1,0,0,0,1
x71,1,0,1,1,1
x73,1,0,1,1,1
x78,1,0,0,1,1
x80,1,0,0,0,1
x82,1,0,0,0,1
x83,1,0,0,0,1
x86,1,0,0,0,1
x88,1,0,0,0,1
x96,1,0,0,1,1
x97,1,1,0,0,1
x98,1,0,0,0,0
x99,1,0,0,0,1
x102,1,1,1,1,1
x104,1,0,1,0,1
x105,1,0,1,1,1
x107,1,1,1,1,1
x111,1,0,1,1,0
x113,1,0,0,0,1
x115,1,0,1,1,1
x116,1,1,1,1,1
x119,1,0,0,1,1
x122,1,1,1,1,1
x124,1,0,0,0,1
x125,1,0,0,0,1
x127,1,1,1,1,1
