,fp2,t1,fp3,init,fp1
x3,0,0,0,1,1
x6,0,1,0,1,0
x7,0,0,0,1,1
x10,0,0,1,1,0
x11,0,1,0,1,1
x13,0,1,0,1,1
x15,0,0,0,0,1
x16,0,1,0,1,1
x17,0,0,1,1,0
x20,0,0,0,1,1
x22,0,1,0,0,1
x23,0,0,0,1,1
x24,0,0,1,0,0
x25,0,0,0,0,1
x27,0,0,0,0,1
x28,0,1,0,0,1
x29,0,1,0,0,0
x32,0,0,1,0,0
x33,0,1,0,1,0
x34,0,1,0,1,1
x35,0,0,0,0,0
x36,0,1,0,1,1
x38,0,1,0,1,0
x39,0,1,1,1,1
x41,0,0,0,1,0
x42,0,1,0,0,1
x43,0,0,1,0,1
x47,0,0,0,0,0
x49,0,0,0,0,0
x51,0,1,1,0,1
x53,0,0,0,1,0
x54,0,1,0,1,1
x58,0,1,0,1,1
x59,0,0,0,0,0
x60,0,0,0,1,1
x62,0,1,0,1,0
x67,0,1,0,0,1
x69,0,1,0,1,1
x70,0,0,0,1,0
x71,0,0,0,1,0
x72,0,0,0,0,1
x73,0,1,1,1,0
x74,0,1,0,1,0
x75,0,0,0,1,1
x76,0,0,0,0,0
x77,0,1,0,0,0
x79,0,1,0,1,0
x80,0,0,0,0,0
x82,0,0,0,1,0
x83,0,1,0,1,0
x84,0,0,0,1,0
x85,0,1,0,0,1
x88,0,0,0,0,0
x89,0,0,0,0,0
x90,0,1,0,1,0
x91,0,0,0,1,0
x92,0,0,0,1,0
x95,0,1,0,1,0
x96,0,0,1,0,0
x97,0,1,0,1,0
x102,0,0,0,1,0
x104,0,0,1,0,0
x106,0,0,0,0,1
x108,0,1,0,1,1
x111,0,0,0,1,0
x112,0,0,0,1,0
x115,0,0,1,0,0
x117,0,0,0,0,0
x118,0,0,1,0,0
x119,0,1,0,1,1
x120,0,0,0,1,0
x122,0,0,0,0,0
x123,0,0,1,0,0
x125,0,0,0,0,1
x127,0,1,0,0,1
x128,0,0,1,1,1
x129,0,0,0,0,0
x130,0,0,0,0,0
x131,0,0,0,0,0
x133,0,0,1,1,1
x136,0,0,0,0,0
x138,0,1,0,0,0
x140,0,0,0,1,0
x143,0,1,0,1,1
x148,0,0,0,0,0
x149,0,0,0,0,0
x152,0,0,0,0,0
x153,0,0,0,0,1
x158,0,0,0,1,1
x160,0,0,0,0,0
x161,0,0,0,1,0
