,fp1,t1,fp3,fp2,init
x2,0,1,1,0,1
x4,0,0,0,1,0
x14,0,1,1,1,0
x15,0,0,0,0,0
x18,0,1,1,1,0
x20,0,0,1,1,1
x25,0,1,1,1,1
x27,0,1,1,1,1
x30,0,1,1,1,0
x32,0,0,1,1,1
x33,0,0,1,1,0
x36,0,0,1,0,1
x37,0,1,1,1,1
x42,0,0,1,1,1
x43,0,1,1,1,1
x46,0,1,0,0,1
x47,0,0,1,0,0
x48,0,1,1,1,0
x50,0,0,1,0,0
x56,0,0,1,0,0
x57,0,0,0,1,1
x61,0,0,0,0,0
x68,0,1,1,0,0
x72,0,1,0,0,1
x73,0,0,1,1,1
x74,0,0,1,0,1
x75,0,0,1,1,1
x76,0,0,0,0,0
x78,0,0,1,0,0
x79,0,0,0,0,1
x80,0,1,0,0,0
x81,0,0,1,1,1
x83,0,1,1,1,0
x85,0,0,1,1,0
x86,0,0,0,0,1
x87,0,1,1,1,0
x88,0,0,1,0,0
x93,0,1,0,0,1
x94,0,1,0,0,1
x95,0,0,0,0,1
x97,0,1,1,0,1
x99,0,0,1,1,1
x106,0,1,0,0,1
x109,0,0,1,1,1
x111,0,0,0,0,0
x112,0,0,1,1,1
x113,0,0,0,0,0
x114,0,1,0,0,1
x115,0,0,0,0,0
x118,0,0,1,1,0
x120,0,1,0,0,1
x121,0,1,1,1,0
x123,0,0,0,0,0
x124,0,0,0,0,0
x128,0,1,0,0,1
x129,0,0,0,0,0
x131,0,1,1,1,0
x132,0,1,1,1,0
x133,0,0,1,1,1
x135,0,0,0,0,0
x136,0,1,1,1,0
x137,0,0,1,1,1
x139,0,0,0,0,0
x141,0,0,1,1,0
x144,0,0,1,1,0
x145,0,1,1,0,1
x147,0,1,0,0,1
x148,0,1,1,1,0
x150,0,0,0,0,0
x154,0,1,1,1,1
x155,0,1,0,0,0
x157,0,0,1,1,0
x158,0,0,1,0,0
x159,0,0,1,1,1
x160,0,1,1,0,0
x162,0,0,0,0,0
x164,0,1,1,0,1
x167,0,1,0,0,0
x169,0,0,1,1,1
x172,0,0,0,0,1
x178,0,0,0,0,1
x179,0,0,1,0,1
x180,0,0,0,0,0
x181,0,0,0,0,0
x182,0,0,0,0,0
x183,0,0,0,1,0
x185,0,0,1,1,1
x186,0,1,1,1,1
x188,0,1,1,1,1
x189,0,0,1,0,0
x190,0,0,0,0,0
x191,0,1,1,1,1
x194,0,0,1,1,0
x196,0,0,1,1,0
x197,0,0,0,0,1
x199,0,1,1,1,0
x200,0,0,0,0,0
x201,0,1,0,0,0
x202,0,1,1,1,1
x203,0,0,0,1,0
x204,0,0,0,0,1
x208,0,0,1,0,1
x210,0,0,1,0,0
x211,0,1,0,0,1
x214,0,0,1,0,0
x215,0,0,1,1,0
x218,0,0,0,0,0
x220,0,1,1,0,0
x221,0,1,1,1,1
x226,0,0,0,0,0
x227,0,1,1,1,1
x229,0,1,1,1,0
x230,0,1,1,1,0
x231,0,1,1,0,1
x232,0,0,0,0,0
x234,0,1,1,0,1
x236,0,1,1,1,1
x238,0,0,1,0,0
x240,0,1,0,1,0
x241,0,0,1,1,0
x245,0,0,0,0,0
x247,0,0,1,0,1
x250,0,0,1,1,0
x251,0,0,1,0,0
x252,0,1,0,0,0
x254,0,0,0,0,1
x256,0,1,1,0,0
x257,0,0,0,0,0
x258,0,0,0,0,0
x259,0,1,0,0,1
x261,0,0,1,1,1
x262,0,1,0,0,1
x263,0,0,0,0,0
x266,0,1,0,0,1
x272,0,0,1,0,0
x273,0,0,0,0,0
x275,0,0,1,1,0
x276,0,1,0,1,0
x279,0,1,1,0,0
x280,0,0,1,0,0
x281,0,1,1,1,0
x282,0,1,1,1,1
x284,0,0,1,1,1
x286,0,1,1,0,0
x288,0,1,0,0,0
x289,0,1,1,0,1
x292,0,0,1,1,0
x294,0,0,1,1,0
x296,0,1,0,0,1
x298,0,0,1,0,0
x299,0,1,1,1,1
x0,1,1,1,1,1
x1,1,0,0,0,1
x3,1,0,0,0,1
x5,1,1,0,0,1
x6,1,0,0,0,1
x7,1,1,1,0,1
x8,1,0,0,0,1
x9,1,1,1,1,0
x10,1,0,0,0,0
x11,1,0,0,1,0
x12,1,1,0,1,1
x13,1,1,1,1,0
x16,1,0,0,0,1
x17,1,0,1,0,1
x19,1,0,1,1,1
x21,1,1,0,0,0
x22,1,1,1,1,1
x23,1,1,1,1,1
